,State,County,lat,lon,# Droughts PET (2 CAT/2wk)(2 wk intervals),# Droughts PET (2 CAT/2wk)(4 wk intervals),# Droughts PET (2 CAT/4wk)(2 wk intervals),# Droughts PET (2 CAT/4wk)(4 wk intervals),# Droughts PET (-2 Z-SCORE/2wk)(2 wk intervals),# Droughts PET (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts PET (-2 Z-SCORE/4wk)(2 wk intervals),# Droughts PET (-2 Z-SCORE/4wk)(4 wk intervals),# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),# Droughts Precip (2 CAT/2wk)(2 wk intervals),# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(2 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(2 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(2 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month PET (2 CAT/2wk)(2 wk intervals),Highest Month PET (2 CAT/2wk)(4 wk intervals),Highest Month PET (2 CAT/4wk)(2 wk intervals),Highest Month PET (2 CAT/4wk)(4 wk intervals),Highest Month PET (-2 Z-SCORE/2wk)(2 wk intervals),Highest Month PET (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month PET (-2 Z-SCORE/4wk)(2 wk intervals),Highest Month PET (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month Precip (2 CAT/2wk)(2 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(2 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(2 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(2 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
10,DE,Sussex,38.677511,-75.335495,31,20,28,20,20,6,20,10,8,0,30,26,34,23,29,23,27,14,20,24,"['June', 'May']","['April', 'September', 'August', 'May', 'June']",['September'],"['April', 'September', 'August', 'May', 'June']",['June'],['September'],['March'],['March'],['March'],[],['April'],"['September', 'April']","['May', 'August']",['May'],['May'],['May'],['April'],['May'],['April'],['April']
11,DC,District of Columbia ,38.904149,-77.017094,37,23,33,23,32,14,33,25,17,10,39,34,32,19,32,19,29,14,20,23,"['June', 'April']",['July'],['August'],['July'],"['May', 'August']",['August'],"['July', 'August']","['April', 'May', 'March']",['April'],['March'],['April'],['August'],['August'],['May'],['April'],['May'],['April'],"['April', 'September']","['May', 'September', 'April', 'June']","['April', 'June']"
12,ME,Androscoggin,44.167681,-70.207435,35,18,29,18,39,11,19,26,18,16,48,42,32,27,32,27,27,12,29,25,['April'],['July'],"['September', 'March']",['July'],['July'],['June'],['July'],['May'],"['April', 'September']",['September'],['September'],['April'],['April'],['September'],['April'],['September'],['September'],"['March', 'May', 'September']",['September'],"['May', 'September']"
13,ME,Aroostook,46.727057,-68.64941,27,25,23,25,30,3,27,28,44,38,38,35,38,23,32,23,42,18,28,27,['July'],"['September', 'April']",['July'],"['September', 'April']",['September'],"['April', 'October', 'May']",['July'],['August'],['April'],"['April', 'September']",['June'],['June'],['July'],['September'],['June'],['September'],"['July', 'May', 'April']",['June'],['September'],['June']
14,ME,Cumberland,43.808348,-70.330375,45,30,40,30,49,13,25,36,18,17,42,27,34,26,33,26,36,14,36,20,['July'],"['July', 'May']","['June', 'July']","['July', 'May']",['July'],['June'],['March'],['May'],['September'],['September'],['May'],['June'],['July'],"['May', 'September']",['July'],"['May', 'September']",['September'],['September'],['September'],['September']
15,ME,Franklin,44.973012,-70.444727,36,24,29,24,39,8,26,25,31,28,45,45,33,26,28,26,27,11,22,25,"['September', 'April', 'May']",['July'],"['June', 'March']",['July'],"['April', 'June']",['June'],['July'],"['May', 'July']",['May'],['April'],"['April', 'May', 'June']",['June'],['April'],"['March', 'April', 'June']","['September', 'May']","['March', 'April', 'June']","['September', 'April']",['March'],['June'],['May']
16,ME,Hancock,44.564906,-68.370703,48,40,36,40,25,16,28,22,19,14,31,27,34,22,32,22,33,12,21,20,['August'],['August'],['August'],['August'],['March'],['March'],['August'],"['April', 'August']",['May'],['April'],['May'],"['June', 'May', 'July']",['September'],['July'],['June'],['July'],"['April', 'May']",['March'],['July'],['May']
17,ME,Kennebec,44.417012,-69.765764,39,21,34,21,42,11,20,28,22,18,35,29,35,21,30,21,32,9,30,27,['July'],['July'],['July'],['July'],['April'],"['July', 'April', 'June', 'May']","['March', 'July']","['March', 'May', 'July']",['May'],['April'],['May'],"['April', 'July']","['April', 'September']","['May', 'September']","['July', 'April']","['May', 'September']",['April'],['March'],['September'],['September']
18,ME,Knox,44.188073,-69.217193,36,21,29,21,39,11,23,26,27,21,47,46,32,20,29,20,33,11,26,19,['June'],['July'],"['May', 'September']",['July'],['April'],"['July', 'June']","['March', 'July']",['May'],"['May', 'September']",['April'],"['May', 'April', 'June']",['June'],['July'],['May'],['July'],['May'],['July'],['March'],['July'],"['June', 'May', 'September']"
19,ME,Lincoln,43.994265,-69.514029,36,25,29,25,45,14,28,31,20,18,33,24,36,23,29,23,27,11,25,18,"['June', 'July']",['July'],['June'],['July'],"['July', 'April']",['July'],['March'],"['May', 'July']",['April'],['September'],['May'],"['August', 'September']",['July'],"['August', 'May', 'September']",['July'],"['August', 'May', 'September']","['September', 'April']","['August', 'March', 'May', 'April']",['September'],"['August', 'September']"
20,ME,Oxford,44.494585,-70.734688,38,18,30,18,41,9,26,24,23,21,44,40,32,29,27,29,29,10,21,26,"['April', 'July']",['July'],['March'],['July'],"['June', 'April']",['June'],['July'],['July'],['April'],"['September', 'April']",['September'],['April'],['April'],['September'],['July'],['September'],['June'],['March'],['September'],['September']
21,ME,Penobscot,45.390602,-68.657487,41,25,35,25,36,7,22,26,28,25,28,28,30,21,28,21,28,12,21,22,['July'],"['September', 'July']",['July'],"['September', 'July']",['July'],"['June', 'May']","['July', 'March']",['July'],['September'],['September'],['May'],['July'],['April'],"['August', 'September']","['March', 'September', 'June']","['August', 'September']",['April'],['March'],['June'],"['August', 'June']"
22,ME,Piscataquis,45.917678,-69.104548,35,24,30,24,27,7,26,25,38,30,40,37,37,30,29,30,35,12,24,24,['July'],['July'],['March'],['July'],['July'],"['June', 'April']",['March'],['July'],"['May', 'April', 'July', 'September']",['September'],['June'],['July'],['April'],"['July', 'May', 'September']",['April'],"['July', 'May', 'September']",['April'],"['September', 'May']",['September'],"['August', 'May', 'September', 'April']"
23,ME,Sagadahoc,43.916694,-69.843994,38,29,30,29,46,16,28,34,18,17,23,14,20,13,20,13,20,7,16,15,['July'],['July'],"['June', 'September']",['July'],['July'],['July'],"['March', 'July', 'September']",['May'],['September'],['September'],['April'],['April'],['September'],['May'],"['July', 'April', 'September']",['May'],['April'],"['March', 'May']",['April'],['May']
24,ME,Somerset,45.507482,-69.97604,34,25,28,25,34,6,29,23,28,27,45,43,40,26,38,26,42,11,27,20,"['April', 'May']",['July'],['March'],['July'],['July'],"['June', 'May', 'April']",['July'],['April'],['April'],"['April', 'September']",['July'],['April'],"['September', 'April', 'June']",['April'],['April'],['April'],"['June', 'September']",['May'],"['June', 'July', 'September']",['April']
25,ME,Waldo,44.505361,-69.139678,36,23,30,23,40,13,22,28,26,17,49,42,35,24,32,24,33,8,24,19,['June'],['July'],['September'],['July'],['April'],['June'],['March'],['May'],"['May', 'September']",['September'],['May'],"['May', 'April']","['April', 'September']",['September'],['April'],['September'],['September'],['March'],['September'],"['April', 'September']"
26,ME,Washington,44.967009,-67.609354,15,14,8,14,12,8,10,11,15,13,17,14,15,11,14,11,14,5,12,9,['July'],['July'],['June'],['July'],['July'],"['June', 'May']",['May'],['May'],"['July', 'April', 'May', 'September']",['April'],['July'],"['May', 'July']",['July'],"['July', 'June', 'September', 'May']","['May', 'June', 'August', 'April']","['July', 'June', 'September', 'May']","['July', 'August', 'September']","['July', 'May', 'March', 'April', 'August']",['June'],"['July', 'May', 'August']"
27,ME,York,43.427239,-70.670402,32,25,28,25,34,11,25,20,20,17,37,31,30,28,29,28,24,16,33,26,"['June', 'April']",['July'],['September'],['July'],['June'],['June'],"['May', 'March']",['April'],"['September', 'April']",['September'],['May'],['June'],['June'],['August'],"['June', 'May']",['August'],['June'],['August'],['September'],['September']
28,MD,Allegany,39.612309,-78.703108,35,21,35,21,30,11,32,25,34,27,35,35,40,32,36,32,34,11,25,26,['July'],"['June', 'July']",['July'],"['June', 'July']",['July'],"['March', 'May', 'June', 'August']",['March'],['March'],['May'],"['April', 'September']",['May'],"['March', 'May', 'June', 'April']","['June', 'September']",['September'],"['May', 'September']",['September'],['April'],['March'],['September'],"['August', 'March']"
29,MD,Anne Arundel,38.993374,-76.560511,35,19,35,19,27,5,28,18,6,0,26,17,15,13,13,13,13,5,15,11,['July'],['July'],['August'],['July'],['May'],"['May', 'March']","['July', 'March', 'August']","['August', 'May', 'March']",['March'],[],"['April', 'May']","['September', 'April']",['May'],"['August', 'May']",['August'],"['August', 'May']",['April'],['May'],['May'],['June']
30,MD,Baltimore,39.443167,-76.616569,33,22,30,22,25,11,28,21,22,16,37,28,39,24,32,24,38,11,27,19,"['August', 'April']",['July'],['August'],['July'],['May'],['March'],['March'],['March'],['April'],['March'],['April'],"['March', 'August']",['April'],['September'],"['April', 'May']",['September'],['April'],['May'],['September'],['August']
31,MD,Calvert,38.577824,-76.590198,33,19,30,19,26,7,29,21,6,0,30,27,27,24,25,24,28,11,26,21,['July'],['July'],"['July', 'September', 'June']",['July'],['May'],"['May', 'March']",['March'],"['August', 'March']",['March'],[],['May'],['April'],['May'],['May'],['April'],['May'],['April'],['May'],"['May', 'April']",['April']
32,MD,Caroline,38.871531,-75.831631,29,21,27,21,26,8,26,19,13,7,25,20,32,25,32,25,31,14,30,26,['July'],"['July', 'August']",['August'],"['July', 'August']","['May', 'April']","['September', 'May', 'March']","['March', 'August']","['August', 'March']",['April'],['March'],"['April', 'May', 'March']",['April'],['May'],"['May', 'June']",['May'],"['May', 'June']",['April'],['May'],['May'],['April']
33,MD,Carroll,39.563189,-77.015512,35,27,32,27,27,17,35,29,27,21,36,30,39,21,33,21,34,12,27,20,"['June', 'July', 'August', 'May']",['July'],['August'],['July'],"['July', 'May']","['March', 'June', 'May', 'August']",['March'],"['March', 'May']",['April'],['March'],['April'],"['April', 'August']",['April'],['June'],['May'],['June'],['April'],"['April', 'March', 'August', 'May']","['June', 'May']","['August', 'July', 'May']"
34,MD,Cecil,39.580285,-75.909392,35,22,31,22,27,10,29,23,25,20,44,31,32,21,31,21,27,11,21,18,['April'],"['July', 'September', 'August']","['March', 'August']","['July', 'September', 'August']",['May'],['March'],['March'],['March'],['April'],['September'],['May'],['April'],"['April', 'May', 'August']","['March', 'June', 'August', 'September']","['May', 'April']","['March', 'June', 'August', 'September']","['May', 'April']","['August', 'May']",['April'],['May']
35,MD,Charles,38.472853,-77.015427,35,21,32,21,26,6,27,19,4,0,21,12,29,18,23,18,21,9,14,14,['July'],"['September', 'July']",['July'],"['September', 'July']",['May'],['May'],['March'],['May'],['March'],[],['April'],['April'],['August'],['August'],"['August', 'April']",['August'],['April'],['March'],"['April', 'August']",['April']
36,MD,Dorchester,38.429196,-76.047433,31,23,30,23,24,9,30,22,7,4,29,35,30,25,29,25,33,14,26,22,['May'],['July'],['August'],['July'],['May'],"['May', 'March']","['August', 'March', 'July']",['August'],['April'],['March'],['April'],['May'],['April'],"['June', 'April', 'May', 'September', 'August']",['April'],"['June', 'April', 'May', 'September', 'August']",['April'],"['April', 'May']",['May'],['April']
37,MD,Frederick,39.470427,-77.397627,34,27,34,27,30,16,36,28,22,20,26,28,33,27,31,27,37,15,25,28,['August'],['July'],['August'],['July'],['July'],['August'],['March'],['March'],"['April', 'May']",['March'],['April'],"['April', 'May', 'August']","['April', 'June', 'May']",['July'],['May'],['July'],['April'],"['August', 'July']","['July', 'May', 'June']",['July']
38,MD,Garrett,39.529871,-79.269416,30,24,29,24,27,10,29,23,26,22,47,36,34,27,30,27,39,12,31,25,"['June', 'July']",['June'],['June'],['June'],['July'],"['March', 'May', 'June', 'August']",['March'],['March'],['April'],"['April', 'September']",['May'],"['July', 'April', 'September']","['April', 'May']","['August', 'September', 'March', 'May']","['March', 'September']","['August', 'September', 'March', 'May']",['May'],['March'],"['June', 'May', 'September']",['June']
39,MD,Harford,39.537429,-76.299789,32,21,29,21,25,6,28,23,18,13,29,36,38,21,38,21,38,10,32,21,['August'],['July'],['August'],['July'],['August'],['March'],['March'],['March'],['April'],['March'],['April'],['July'],['April'],"['June', 'September']",['May'],"['June', 'September']",['May'],"['May', 'August']",['September'],['July']
40,MD,Howard,39.252264,-76.924406,38,23,36,23,34,15,32,26,20,16,37,30,37,20,33,20,39,14,21,21,['May'],['July'],['August'],['July'],"['July', 'May']",['August'],['March'],['May'],['April'],['March'],['April'],"['April', 'May']",['August'],"['June', 'August']",['May'],"['June', 'August']",['August'],['July'],['May'],['July']
41,MD,Kent,39.239177,-76.1242,32,21,29,21,25,6,25,19,12,12,27,28,33,25,31,25,32,12,30,24,"['July', 'August']",['July'],['August'],['July'],['May'],['March'],['March'],['March'],['April'],['March'],['April'],['August'],"['May', 'June']","['June', 'May', 'September']",['May'],"['June', 'May', 'September']","['April', 'September']",['May'],['May'],['April']
42,MD,Montgomery,39.137382,-77.203063,37,26,35,26,31,16,35,28,18,14,37,37,34,20,29,20,33,13,29,28,['April'],['July'],['August'],['July'],['May'],['August'],"['July', 'March', 'August']",['May'],['April'],['March'],['April'],['May'],['April'],['August'],['May'],['August'],"['April', 'May']",['July'],"['June', 'April', 'May']",['August']
43,MD,Prince George's,38.82588,-76.847272,34,21,29,21,21,4,22,14,7,0,32,21,25,21,22,21,23,9,21,18,['July'],['July'],"['July', 'June']",['July'],['April'],"['May', 'March', 'July', 'June']",['August'],['March'],['March'],[],['April'],['September'],['May'],['July'],['May'],['July'],['April'],"['March', 'May']",['May'],['May']
44,MD,Queen Anne's,39.040693,-76.082405,33,19,32,19,27,7,25,18,11,5,36,29,36,22,36,22,28,8,25,25,['July'],"['September', 'July', 'June', 'March', 'August']","['June', 'August', 'March', 'September']","['September', 'July', 'June', 'March', 'August']",['May'],['March'],['March'],['March'],['March'],['March'],['April'],['May'],"['April', 'May']","['May', 'June']",['May'],"['May', 'June']","['April', 'May']",['May'],['May'],['May']
45,MD,St. Mary's,38.222666,-76.534271,35,22,31,22,27,10,29,22,10,5,39,37,29,27,23,27,29,18,25,28,['July'],"['July', 'May', 'June']",['July'],"['July', 'May', 'June']",['May'],"['May', 'June', 'July', 'August']",['March'],['August'],['March'],['March'],['May'],['April'],['April'],"['September', 'June']",['April'],"['September', 'June']",['April'],['April'],['April'],['April']
46,MD,Somerset,38.07445,-75.853323,32,27,30,27,20,12,31,20,9,2,33,35,28,23,25,23,30,17,32,28,"['June', 'May']","['May', 'July']",['August'],"['May', 'July']",['October'],"['May', 'October']",['March'],"['March', 'August']",['March'],['March'],['April'],"['March', 'April']",['July'],"['May', 'September']","['June', 'May']","['May', 'September']",['April'],['May'],['May'],['August']
47,MD,Talbot,38.746127,-76.16355,33,20,31,20,26,6,27,16,13,13,27,27,32,25,34,25,33,13,30,22,['July'],['July'],['March'],['July'],['May'],"['May', 'March']",['March'],"['August', 'March']",['April'],['March'],['April'],"['April', 'May']",['May'],['May'],"['April', 'August']",['May'],['April'],['May'],"['June', 'April']",['August']
48,MD,Washington,39.603621,-77.814671,37,27,38,27,33,18,37,27,31,26,39,32,31,24,28,24,38,12,23,21,['July'],['July'],['July'],['July'],"['July', 'May']",['August'],['March'],['March'],['May'],['April'],['May'],['April'],"['August', 'May']",['September'],"['May', 'September']",['September'],"['June', 'August']",['September'],['June'],"['June', 'August']"
49,MD,Wicomico,38.367389,-75.632206,34,22,33,22,23,8,32,22,14,7,45,36,38,27,34,27,34,15,33,21,['May'],"['May', 'August']","['March', 'August']","['May', 'August']",['October'],"['August', 'October']",['March'],['August'],['March'],['March'],"['April', 'August']",['September'],['August'],"['September', 'August']",['May'],"['September', 'August']",['August'],"['May', 'August']",['April'],['April']
50,MD,Worcester,38.222133,-75.309932,34,28,30,28,23,11,28,24,10,8,31,38,34,25,30,25,31,16,30,28,"['June', 'May']","['July', 'September']",['March'],"['July', 'September']","['August', 'October']",['June'],"['March', 'August']",['August'],['April'],['March'],['September'],['August'],['April'],['August'],['April'],['August'],['April'],['May'],['April'],['April']
51,MD,Baltimore ,39.300214,-76.610516,34,21,31,21,34,11,26,21,16,13,33,27,34,21,33,21,30,12,25,21,"['May', 'August']",['July'],['August'],['July'],"['July', 'May']",['March'],['March'],['March'],['April'],['March'],['April'],['August'],['May'],"['June', 'September', 'May']",['May'],"['June', 'September', 'May']",['April'],['May'],['August'],['April']
52,MA,Barnstable,41.680524,-70.248648,33,41,25,41,25,19,24,21,17,12,42,26,34,21,36,21,37,13,31,28,['July'],['June'],"['April', 'June', 'May']",['June'],['March'],['July'],['April'],['April'],"['April', 'March']","['March', 'September']",['May'],['April'],['May'],['September'],['April'],['September'],['May'],"['June', 'March']",['April'],"['March', 'May', 'August']"
53,MA,Berkshire,42.375314,-73.213948,42,24,39,24,39,10,31,26,35,29,63,49,41,25,38,25,35,14,31,20,['July'],['July'],"['August', 'March', 'May']",['July'],['April'],['July'],['June'],"['May', 'July']",['April'],"['September', 'April']","['May', 'April']","['July', 'April']","['April', 'September']",['May'],['September'],['May'],['April'],['May'],['June'],['June']
54,MA,Bristol,41.748576,-71.087062,38,27,34,27,37,17,30,25,21,12,45,29,34,21,34,21,32,11,32,27,['July'],['July'],"['March', 'June', 'August', 'May', 'July']",['July'],"['April', 'July']",['July'],['March'],"['July', 'May']",['April'],['March'],['April'],['September'],['April'],['July'],['June'],['July'],['May'],"['August', 'June', 'March', 'May']",['April'],['April']
55,MA,Dukes,41.380939,-70.701536,26,23,25,23,24,15,21,21,25,12,43,32,34,22,32,22,29,13,31,28,['July'],['July'],"['March', 'June', 'July']",['July'],['July'],['July'],['March'],['March'],['March'],['September'],"['April', 'May']",['April'],['May'],['July'],['May'],['July'],['May'],['June'],['June'],['June']
56,MA,Essex,42.642711,-70.865107,37,33,35,33,40,16,31,26,21,15,47,35,31,20,27,20,30,12,28,18,['July'],['July'],"['July', 'September']",['July'],['April'],['July'],['September'],['May'],['April'],['March'],['April'],"['June', 'April']",['April'],"['May', 'August']","['March', 'September']","['May', 'August']",['August'],['March'],['April'],['September']
57,MA,Franklin,42.583791,-72.591655,42,27,37,27,39,14,28,28,31,27,60,45,42,18,37,18,38,12,34,21,['July'],['June'],['July'],['June'],"['June', 'August', 'April']",['July'],"['March', 'June', 'September']","['June', 'May', 'September']",['April'],"['April', 'September']",['May'],['June'],['April'],"['June', 'July', 'September']",['July'],"['June', 'July', 'September']",['April'],"['March', 'May', 'August', 'September', 'April']","['June', 'September']",['June']
58,MA,Hampden,42.136198,-72.635648,36,25,34,25,35,6,29,27,34,29,53,47,39,23,38,23,32,16,36,27,['July'],"['July', 'March', 'June']",['July'],"['July', 'March', 'June']","['July', 'April']",['July'],"['March', 'September']",['July'],['April'],['April'],['May'],['June'],['August'],['August'],['July'],['August'],"['May', 'August']",['August'],"['June', 'July']",['June']
59,MA,Hampshire,42.339459,-72.663694,41,26,38,26,38,12,27,28,37,32,45,34,40,23,34,23,33,10,37,22,['July'],['June'],['March'],['June'],"['July', 'August', 'April']",['July'],"['March', 'July']","['July', 'September']",['April'],"['April', 'September']",['April'],['June'],"['August', 'September']",['August'],['July'],['August'],"['May', 'June']","['July', 'March', 'August']",['June'],['June']
60,MA,Middlesex,42.479477,-71.396507,42,29,37,29,41,14,29,25,22,16,52,42,34,21,30,21,30,7,26,17,['July'],['July'],"['July', 'June', 'September', 'August']",['July'],['April'],"['July', 'August']",['September'],"['June', 'July', 'August']",['April'],"['September', 'March']",['April'],"['April', 'August']",['August'],"['August', 'September']","['July', 'September']","['August', 'September']",['August'],"['March', 'September']",['September'],['August']
61,MA,Nantucket,41.26842,-70.036824,6,7,6,7,5,4,5,5,5,3,7,4,7,6,6,6,7,5,5,3,"['April', 'June']","['April', 'June']","['March', 'June', 'July', 'October', 'April', 'May']","['April', 'June']",['April'],['June'],"['June', 'July', 'October', 'April', 'May']",['May'],['April'],"['May', 'April', 'July']",['April'],['September'],['July'],"['August', 'September']",['June'],"['August', 'September']","['October', 'July']",['September'],['September'],"['May', 'July', 'August']"
62,MA,Norfolk,42.169703,-71.179875,39,26,37,26,38,16,32,25,23,15,48,34,35,24,33,24,30,13,32,24,['April'],['July'],"['June', 'August']",['July'],['July'],"['July', 'May']",['September'],"['June', 'March', 'July', 'April', 'August']",['April'],['March'],['April'],"['August', 'September']","['April', 'August']",['September'],['July'],['September'],['May'],"['August', 'June', 'March', 'May', 'September']","['April', 'July']",['May']
63,MA,Plymouth,41.987196,-70.741942,40,27,39,27,40,20,31,27,26,16,49,33,29,19,27,19,25,9,24,24,['July'],"['July', 'June']","['June', 'July']","['July', 'June']",['April'],['July'],['June'],"['June', 'March']",['April'],['September'],['May'],['September'],"['April', 'May']","['July', 'May', 'June', 'March']","['May', 'September']","['July', 'May', 'June', 'March']",['May'],"['June', 'March']",['September'],['July']
